日期,收盘,开盘,高,低,交易量,涨跌幅
2020年6月26日,9160.00 ,9247.50 ,9296.50 ,9060.10 ,489.84K,-0.95%
2020年6月25日,9247.50 ,9300.80 ,9327.30 ,9022.60 ,524.45K,-0.59%
2020年6月24日,9302.00 ,9624.60 ,9667.40 ,9223.00 ,515.78K,-3.35%
2020年6月23日,9624.60 ,9683.90 ,9715.60 ,9581.80 ,375.49K,-0.61%
2020年6月22日,9683.70 ,9296.50 ,9751.90 ,9285.80 ,523.32K,4.17%
2020年6月21日,9296.40 ,9358.80 ,9411.20 ,9288.50 ,335.99K,-0.67%
2020年6月20日,9358.80 ,9314.00 ,9394.50 ,9199.80 ,383.44K,0.48%
2020年6月19日,9314.00 ,9390.30 ,9424.00 ,9249.60 ,478.49K,-0.79%
2020年6月18日,9388.10 ,9464.60 ,9480.40 ,9289.30 ,391.67K,-0.81%
2020年6月17日,9464.60 ,9523.60 ,9543.60 ,9258.20 ,446.45K,-0.62%
2020年6月16日,9523.50 ,9425.60 ,9577.10 ,9379.30 ,545.47K,1.04%
2020年6月15日,9425.40 ,9345.50 ,9489.70 ,8925.60 ,750.90K,0.86%
2020年6月14日,9345.30 ,9470.70 ,9474.70 ,9264.40 ,311.27K,-1.33%
2020年6月13日,9471.30 ,9466.50 ,9484.90 ,9369.90 ,364.97K,0.05%
2020年6月12日,9466.60 ,9283.70 ,9547.50 ,9249.40 ,529.28K,1.97%
2020年6月11日,9283.20 ,9878.90 ,9945.20 ,9139.10 ,919.30K,-6.03%
2020年6月10日,9878.80 ,9768.80 ,9970.90 ,9710.70 ,533.55K,1.13%
2020年6月9日,9768.80 ,9777.70 ,9857.20 ,9616.60 ,479.55K,-0.09%
2020年6月8日,9777.90 ,9743.40 ,9788.20 ,9662.30 ,431.04K,0.36%
2020年6月7日,9742.60 ,9669.60 ,9791.80 ,9417.40 ,549.20K,0.76%
2020年6月6日,9669.60 ,9630.80 ,9733.10 ,9549.50 ,370.85K,0.40%
2020年6月5日,9631.20 ,9794.00 ,9846.10 ,9628.70 ,527.05K,-1.67%
2020年6月4日,9794.40 ,9667.20 ,9864.40 ,9490.90 ,593.66K,1.32%
2020年6月3日,9667.20 ,9527.00 ,9667.20 ,9421.70 ,558.12K,1.47%
2020年6月2日,9527.60 ,10190.70 ,10207.30 ,9347.30 ,1.06M,-6.49%
2020年6月1日,10189.30 ,9454.50 ,10301.80 ,9429.70 ,796.68K,7.77%
2020年5月31日,9454.80 ,9692.90 ,9695.60 ,9406.20 ,645.27K,-2.45%
2020年5月30日,9692.50 ,9424.80 ,9729.90 ,9352.70 ,720.62K,2.84%
2020年5月29日,9424.80 ,9573.40 ,9596.50 ,9358.10 ,814.33K,-1.54%
2020年5月28日,9572.20 ,9199.80 ,9610.80 ,9119.20 ,948.86K,4.06%
2020年5月27日,9199.10 ,8842.30 ,9210.90 ,8818.60 ,810.89K,4.03%
2020年5月26日,8842.50 ,8897.70 ,8994.60 ,8713.90 ,784.92K,-0.63%
2020年5月25日,8898.20 ,8728.00 ,8959.50 ,8666.10 ,941.89K,1.95%
2020年5月24日,8728.20 ,9177.90 ,9292.00 ,8724.10 ,1.11M,-4.89%
2020年5月23日,9177.00 ,9169.80 ,9303.20 ,9098.90 ,812.56K,0.08%
2020年5月22日,9169.70 ,9058.20 ,9253.50 ,8952.10 ,914.59K,1.22%
2020年5月21日,9059.00 ,9511.60 ,9567.10 ,8833.60 ,1.41M,-4.76%
2020年5月20日,9512.30 ,9773.00 ,9829.30 ,9368.40 ,1.15M,-2.67%
2020年5月19日,9773.30 ,9730.80 ,9883.90 ,9498.70 ,1.16M,0.44%
2020年5月18日,9730.70 ,9678.40 ,9930.20 ,9524.40 ,1.18M,0.55%
2020年5月17日,9677.70 ,9376.60 ,9866.00 ,9327.80 ,1.18M,3.18%
2020年5月16日,9379.50 ,9318.10 ,9579.00 ,9233.00 ,1.10M,0.66%
2020年5月15日,9318.00 ,9778.60 ,9819.60 ,9223.20 ,1.56M,-4.71%
2020年5月14日,9778.40 ,9298.70 ,9887.50 ,9265.80 ,1.77M,5.16%
2020年5月13日,9298.70 ,8813.90 ,9384.60 ,8799.10 ,1.50M,5.50%
2020年5月12日,8813.80 ,8569.80 ,8964.50 ,8542.80 ,1.35M,2.73%
2020年5月11日,8579.80 ,8737.60 ,9129.60 ,8235.60 ,2.29M,-1.82%
2020年5月10日,8738.80 ,9553.90 ,9569.40 ,8259.30 ,2.47M,-8.54%
2020年5月9日,9554.60 ,9806.00 ,9910.50 ,9533.60 ,1.49M,-2.57%
2020年5月8日,9806.20 ,9980.10 ,10018.20 ,9731.40 ,1.42M,-1.74%
2020年5月7日,9979.80 ,9152.70 ,10033.00 ,9064.80 ,1.91M,9.05%
2020年5月6日,9151.40 ,9000.60 ,9373.70 ,8923.60 ,1.62M,1.67%
2020年5月5日,9001.00 ,8874.20 ,9078.70 ,8800.40 ,1.05M,1.42%
2020年5月4日,8874.70 ,8885.50 ,8945.50 ,8553.20 ,1.12M,-0.12%
2020年5月3日,8885.50 ,8966.20 ,9169.90 ,8742.20 ,1.15M,-0.90%
2020年5月2日,8966.30 ,8821.60 ,8986.20 ,8771.30 ,890.34K,1.64%
2020年5月1日,8821.60 ,8628.60 ,9040.30 ,8621.00 ,1.11M,2.23%
2020年4月30日,8629.00 ,8770.60 ,9437.50 ,8425.50 ,2.04M,-1.62%
2020年4月29日,8770.90 ,7746.70 ,8918.50 ,7729.70 ,1.83M,13.22%
2020年4月28日,7746.90 ,7766.00 ,7770.10 ,7655.30 ,808.09K,-0.25%
2020年4月27日,7766.00 ,7679.40 ,7768.50 ,7637.70 ,980.50K,1.13%
2020年4月26日,7678.90 ,7540.40 ,7679.40 ,7520.50 ,921.59K,1.84%
2020年4月25日,7540.40 ,7503.90 ,7684.60 ,7451.00 ,861.93K,0.49%
2020年4月24日,7503.80 ,7491.30 ,7583.50 ,7423.50 ,951.95K,0.20%
2020年4月23日,7488.50 ,7112.80 ,7655.40 ,7036.50 ,1.34M,5.28%
2020年4月22日,7112.90 ,6842.50 ,7137.40 ,6821.80 ,914.18K,3.95%
2020年4月21日,6842.50 ,6833.40 ,6919.30 ,6774.30 ,892.57K,0.13%
2020年4月20日,6833.50 ,7122.90 ,7207.50 ,6771.20 ,1.26M,-4.06%
2020年4月19日,7122.90 ,7230.90 ,7238.00 ,7079.10 ,5.93M,-1.49%
2020年4月18日,7230.80 ,7035.90 ,7259.40 ,7031.50 ,796.45K,2.77%
2020年4月17日,7035.80 ,7085.50 ,7142.80 ,7005.80 ,810.10K,-0.70%
2020年4月16日,7085.60 ,6629.10 ,7159.70 ,6520.50 ,1.54M,6.89%
2020年4月15日,6629.10 ,6851.30 ,6929.50 ,6615.90 ,1.00M,-3.24%
2020年4月14日,6850.90 ,6841.80 ,6970.80 ,6768.60 ,999.53K,0.14%
2020年4月13日,6841.30 ,6918.10 ,6920.30 ,6618.50 ,1.25M,-1.10%
2020年4月12日,6917.60 ,6867.90 ,7158.80 ,6785.10 ,1.10M,0.73%
2020年4月11日,6867.80 ,6862.70 ,6931.40 ,6765.10 ,845.58K,0.07%
2020年4月10日,6863.10 ,7289.00 ,7294.40 ,6756.10 ,1.37M,-5.84%
2020年4月9日,7289.00 ,7361.10 ,7361.10 ,7140.30 ,963.55K,-0.98%
2020年4月8日,7361.20 ,7185.60 ,7396.10 ,7153.10 ,983.94K,2.45%
2020年4月7日,7185.20 ,7332.30 ,7440.30 ,7101.70 ,1.32M,-2.01%
2020年4月6日,7332.30 ,6772.80 ,7335.00 ,6770.10 ,1.53M,8.26%
2020年4月5日,6772.70 ,6857.50 ,6889.40 ,6686.00 ,842.33K,-1.23%
2020年4月4日,6857.40 ,6735.90 ,6958.60 ,6679.10 ,1.05M,1.80%
2020年4月3日,6735.90 ,6799.90 ,7026.30 ,6623.60 ,1.35M,-0.95%
2020年4月2日,6800.50 ,6638.80 ,7182.70 ,6567.90 ,1.74M,2.44%
2020年4月1日,6638.50 ,6412.40 ,6661.30 ,6157.40 ,1.40M,3.52%
2020年3月31日,6412.50 ,6391.10 ,6513.10 ,6346.30 ,1.05M,0.34%
2020年3月30日,6391.00 ,5890.40 ,6576.50 ,5872.50 ,1.43M,8.50%
2020年3月29日,5890.40 ,6233.20 ,6258.80 ,5889.30 ,916.17K,-5.51%
2020年3月28日,6233.70 ,6373.40 ,6374.30 ,6046.50 ,1.26M,-2.19%
2020年3月27日,6373.40 ,6725.50 ,6813.70 ,6322.30 ,1.16M,-5.23%
2020年3月26日,6725.10 ,6677.90 ,6772.90 ,6541.70 ,1.18M,0.69%
2020年3月25日,6678.90 ,6744.80 ,6930.20 ,6474.60 ,1.52M,-0.97%
2020年3月24日,6744.60 ,6468.80 ,6814.20 ,6380.80 ,1.73M,4.26%
2020年3月23日,6468.90 ,5822.00 ,6564.70 ,5710.80 ,1.88M,11.11%
2020年3月22日,5822.10 ,6186.90 ,6394.40 ,5771.20 ,1.48M,-5.89%
2020年3月21日,6186.20 ,6205.60 ,6438.30 ,5887.00 ,1.64M,-0.31%
2020年3月20日,6205.30 ,6171.60 ,6858.10 ,5748.20 ,2.22M,0.54%
2020年3月19日,6172.00 ,5359.20 ,6379.50 ,5256.00 ,2.18M,15.12%
2020年3月18日,5361.40 ,5260.70 ,5373.10 ,5020.90 ,1.80M,1.91%
2020年3月17日,5261.10 ,5030.20 ,5432.80 ,4946.50 ,1.89M,4.59%
2020年3月16日,5030.00 ,5366.40 ,5369.30 ,4477.70 ,2.55M,-6.27%
2020年3月15日,5366.30 ,5182.90 ,5863.30 ,5120.60 ,1.61M,3.54%
2020年3月14日,5182.70 ,5589.40 ,5634.90 ,5072.20 ,1.69M,-7.19%
2020年3月13日,5584.30 ,4815.20 ,5934.30 ,3869.50 ,4.17M,15.71%
2020年3月12日,4826.00 ,7935.20 ,7963.10 ,4546.60 ,3.22M,-39.18%
2020年3月11日,7935.10 ,7892.10 ,7976.50 ,7606.00 ,1.10M,0.56%
2020年3月10日,7891.20 ,7933.00 ,8145.50 ,7740.20 ,1.20M,-0.53%
2020年3月9日,7933.00 ,8035.80 ,8158.80 ,7648.70 ,1.54M,-1.26%
2020年3月8日,8034.10 ,8887.80 ,8888.00 ,8015.30 ,1.11M,-9.61%
2020年3月7日,8887.80 ,9134.20 ,9180.80 ,8848.70 ,750.65K,-2.70%
2020年3月6日,9134.80 ,9060.60 ,9165.20 ,9004.90 ,1.04M,0.82%
2020年3月5日,9060.30 ,8757.90 ,9147.30 ,8751.50 ,950.76K,3.45%
2020年3月4日,8757.90 ,8761.30 ,8840.30 ,8679.70 ,759.69K,-0.04%
2020年3月3日,8761.40 ,8906.10 ,8911.70 ,8669.30 ,1.01M,-1.61%
2020年3月2日,8904.80 ,8537.50 ,8961.80 ,8503.10 ,1.02M,4.27%
2020年3月1日,8540.00 ,8543.80 ,8737.20 ,8437.20 ,784.05K,-0.04%
2020年2月29日,8543.70 ,8697.10 ,8793.70 ,8539.80 ,683.44K,-1.77%
2020年2月28日,8697.50 ,8820.10 ,8898.70 ,8451.90 ,1.08M,-1.37%
2020年2月27日,8818.60 ,8800.10 ,8968.30 ,8538.50 ,1.13M,0.21%
2020年2月26日,8800.30 ,9317.10 ,9368.10 ,8672.00 ,1.32M,-5.55%
2020年2月25日,9317.20 ,9662.60 ,9672.30 ,9269.80 ,937.97K,-3.57%
2020年2月24日,9662.70 ,9943.20 ,9981.00 ,9507.00 ,980.00K,-2.82%
2020年2月23日,9942.70 ,9655.60 ,9965.60 ,9653.40 ,775.88K,2.97%
2020年2月22日,9655.70 ,9684.50 ,9706.50 ,9569.80 ,589.88K,-0.30%
2020年2月21日,9684.50 ,9602.20 ,9747.10 ,9574.50 ,716.61K,0.85%
2020年2月20日,9602.40 ,9611.90 ,9681.40 ,9448.90 ,870.80K,-0.07%
2020年2月19日,9609.40 ,10158.60 ,10230.90 ,9424.30 ,905.95K,-5.40%
2020年2月18日,10158.40 ,9701.50 ,10230.10 ,9601.60 ,945.91K,4.71%
2020年2月17日,9701.40 ,9931.70 ,9951.50 ,9468.90 ,961.88K,-2.32%
2020年2月16日,9932.30 ,9907.40 ,10056.40 ,9654.90 ,808.91K,0.25%
2020年2月15日,9907.70 ,10336.00 ,10369.80 ,9831.70 ,808.81K,-4.12%
2020年2月14日,10333.00 ,10235.50 ,10372.40 ,10125.20 ,732.51K,0.96%
2020年2月13日,10235.10 ,10321.90 ,10482.60 ,10116.90 ,940.30K,-0.80%
2020年2月12日,10317.70 ,10229.30 ,10435.60 ,10229.30 ,803.25K,0.86%
2020年2月11日,10229.50 ,9854.00 ,10314.10 ,9725.10 ,791.28K,3.81%
2020年2月10日,9854.10 ,10151.50 ,10181.70 ,9774.80 ,781.22K,-2.93%
2020年2月9日,10151.50 ,9895.40 ,10157.10 ,9882.70 ,617.35K,2.59%
2020年2月8日,9895.50 ,9817.30 ,9931.20 ,9673.20 ,551.31K,0.78%
2020年2月7日,9818.60 ,9771.90 ,9872.50 ,9738.70 ,608.96K,0.48%
2020年2月6日,9772.00 ,9611.80 ,9854.90 ,9536.10 ,778.67K,1.67%
2020年2月5日,9611.80 ,9194.10 ,9726.80 ,9179.90 ,771.46K,4.54%
2020年2月4日,9193.90 ,9296.50 ,9347.50 ,9193.90 ,651.68K,-1.10%
2020年2月3日,9296.60 ,9334.60 ,9582.80 ,9243.10 ,701.39K,-0.41%
2020年2月2日,9334.90 ,9381.50 ,9465.40 ,9183.10 ,683.37K,-0.50%
2020年2月1日,9381.60 ,9349.30 ,9458.80 ,9301.50 ,458.42K,0.35%
2020年1月31日,9349.10 ,9508.30 ,9525.00 ,9222.30 ,633.37K,-1.66%
2020年1月30日,9507.30 ,9299.10 ,9569.00 ,9209.20 ,765.21K,2.24%
2020年1月29日,9298.90 ,9377.30 ,9428.70 ,9250.90 ,749.88K,-0.84%
2020年1月28日,9377.30 ,8866.60 ,9389.50 ,8866.60 ,954.20K,5.76%
2020年1月27日,8866.60 ,8608.10 ,8983.10 ,8585.60 ,706.45K,3.01%
2020年1月26日,8607.80 ,8341.60 ,8607.80 ,8304.90 ,468.34K,3.19%
2020年1月25日,8341.60 ,8439.90 ,8447.60 ,8277.20 ,444.00K,-1.17%
2020年1月24日,8439.90 ,8404.90 ,8522.00 ,8242.60 ,617.02K,0.41%
2020年1月23日,8405.10 ,8678.50 ,8687.30 ,8309.60 ,722.67K,-3.15%
2020年1月22日,8678.50 ,8733.00 ,8805.40 ,8610.80 ,509.06K,-0.62%
2020年1月21日,8732.60 ,8642.00 ,8770.30 ,8524.00 ,540.20K,1.05%
2020年1月20日,8641.90 ,8705.70 ,8740.10 ,8539.20 ,599.06K,-0.74%
2020年1月19日,8706.20 ,8916.30 ,9183.70 ,8552.80 ,975.01K,-2.36%
2020年1月18日,8916.30 ,8913.00 ,8982.30 ,8814.60 ,627.74K,0.04%
2020年1月17日,8913.10 ,8726.70 ,9005.10 ,8675.90 ,794.11K,2.13%
2020年1月16日,8726.90 ,8818.10 ,8850.00 ,8605.80 ,748.32K,-1.04%
2020年1月15日,8818.30 ,8827.90 ,8904.00 ,8615.50 ,1.17M,-0.12%
2020年1月14日,8829.20 ,8111.20 ,8898.70 ,8111.20 ,1.48M,8.85%
2020年1月13日,8111.40 ,8188.30 ,8196.70 ,8068.40 ,610.66K,-0.93%
2020年1月12日,8187.60 ,8023.30 ,8189.90 ,7973.10 ,595.22K,2.04%
2020年1月11日,8024.10 ,8187.80 ,8262.90 ,8008.40 ,776.75K,-1.99%
2020年1月10日,8187.10 ,7842.50 ,8187.40 ,7697.70 ,1.05M,4.40%
2020年1月9日,7842.40 ,8060.00 ,8065.90 ,7779.20 ,786.50K,-2.70%
2020年1月8日,8059.60 ,8154.20 ,8436.40 ,7900.80 ,1.19M,-1.18%
2020年1月7日,8155.70 ,7759.10 ,8182.00 ,7754.10 ,1.01M,5.11%
2020年1月6日,7759.10 ,7372.60 ,7783.10 ,7366.70 ,786.75K,5.24%
2020年1月5日,7372.50 ,7376.80 ,7501.00 ,7345.60 ,628.14K,-0.06%
2020年1月4日,7376.80 ,7345.10 ,7433.10 ,7291.40 ,523.91K,0.46%
2020年1月3日,7343.10 ,6967.10 ,7402.90 ,6884.10 ,936.29K,5.40%
2020年1月2日,6967.00 ,7199.70 ,7209.60 ,6901.40 ,632.78K,-3.23%
2020年1月1日,7199.80 ,7196.40 ,7259.40 ,7180.00 ,420.28K,0.05%
2019年12月31日,7196.40 ,7261.50 ,7331.00 ,7167.40 ,586.60K,-0.90%
2019年12月30日,7261.80 ,7397.50 ,7420.90 ,7244.10 ,606.11K,-1.84%
2019年12月29日,7397.50 ,7321.60 ,7518.90 ,7303.00 ,611.69K,1.04%
2019年12月28日,7321.50 ,7261.90 ,7375.90 ,7256.50 ,610.96K,0.82%
2019年12月27日,7261.70 ,7210.80 ,7293.80 ,7128.50 ,718.07K,0.70%
2019年12月26日,7210.90 ,7225.00 ,7414.30 ,7177.30 ,795.09K,-0.19%
2019年12月25日,7224.80 ,7268.30 ,7542.40 ,7150.90 ,625.41K,-0.60%
2019年12月24日,7268.30 ,7322.40 ,7433.20 ,7185.70 ,785.54K,-0.74%
2019年12月23日,7322.80 ,7496.20 ,7684.00 ,7276.20 ,952.16K,-2.31%
2019年12月22日,7495.80 ,7156.30 ,7501.10 ,7142.00 ,677.94K,4.74%
2019年12月21日,7156.20 ,7196.40 ,7197.60 ,7129.60 ,468.74K,-0.56%
2019年12月20日,7196.40 ,7165.50 ,7218.40 ,7107.70 ,627.04K,0.43%
2019年12月19日,7165.50 ,7276.40 ,7354.00 ,7039.30 ,778.72K,-1.52%
2019年12月18日,7276.00 ,6613.50 ,7387.70 ,6462.20 ,1.14M,10.02%
2019年12月17日,6613.30 ,6903.50 ,6943.50 ,6575.00 ,894.55K,-4.20%
2019年12月16日,6903.50 ,7128.50 ,7153.10 ,6864.60 ,689.56K,-3.16%
2019年12月15日,7128.50 ,7080.80 ,7175.80 ,7033.80 ,492.58K,0.67%
2019年12月14日,7080.80 ,7255.20 ,7267.40 ,7043.30 ,524.56K,-2.40%
2019年12月13日,7255.20 ,7208.40 ,7288.00 ,7200.30 ,503.49K,0.65%
2019年12月12日,7208.00 ,7208.00 ,7272.40 ,7124.60 ,611.80K,0.00%
2019年12月11日,7208.00 ,7235.80 ,7284.40 ,7168.80 ,518.40K,-0.38%
2019年12月10日,7235.70 ,7356.20 ,7400.30 ,7192.10 ,609.50K,-1.63%
2019年12月9日,7355.80 ,7524.80 ,7626.00 ,7321.60 ,648.66K,-2.24%
2019年12月8日,7524.40 ,7510.80 ,7576.40 ,7416.70 ,499.04K,0.18%
2019年12月7日,7510.90 ,7530.40 ,7595.70 ,7489.60 ,557.14K,-0.26%
2019年12月6日,7530.80 ,7399.20 ,7552.10 ,7329.80 ,706.10K,1.78%
2019年12月5日,7399.20 ,7204.60 ,7476.30 ,7184.00 ,780.78K,2.70%
2019年12月4日,7204.40 ,7291.90 ,7702.20 ,7113.60 ,971.75K,-1.20%
2019年12月3日,7291.80 ,7298.10 ,7389.40 ,7227.10 ,548.77K,-0.09%
2019年12月2日,7298.20 ,7395.90 ,7433.80 ,7173.60 ,687.78K,-1.33%
2019年12月1日,7396.40 ,7546.50 ,7546.50 ,7244.40 ,777.00K,-1.99%
2019年11月30日,7546.60 ,7742.70 ,7787.70 ,7472.70 ,650.60K,-2.53%
2019年11月29日,7742.70 ,7426.60 ,7825.30 ,7412.30 ,766.71K,4.26%
2019年11月28日,7426.70 ,7510.60 ,7639.50 ,7380.60 ,737.58K,-1.12%
2019年11月27日,7510.60 ,7162.80 ,7636.90 ,6875.40 ,996.49K,4.86%
2019年11月26日,7162.80 ,7115.50 ,7329.50 ,7045.10 ,844.27K,0.66%
2019年11月25日,7115.60 ,6924.70 ,7352.80 ,6534.80 ,1.29M,2.76%
2019年11月24日,6924.70 ,7325.00 ,7344.10 ,6894.90 ,904.50K,-5.45%
2019年11月23日,7324.10 ,7271.60 ,7342.50 ,7093.70 ,783.18K,0.71%
2019年11月22日,7272.50 ,7627.90 ,7700.90 ,6818.50 ,1.41M,-4.66%
2019年11月21日,7627.90 ,8099.40 ,8129.60 ,7519.70 ,891.50K,-5.82%
2019年11月20日,8099.30 ,8145.70 ,8223.00 ,8074.20 ,607.27K,-0.57%
2019年11月19日,8145.70 ,8207.70 ,8245.60 ,8032.80 ,654.27K,-0.76%
2019年11月18日,8208.40 ,8510.30 ,8516.30 ,8110.40 ,692.60K,-3.54%
2019年11月17日,8509.80 ,8497.40 ,8631.70 ,8413.00 ,531.22K,0.15%
2019年11月16日,8497.30 ,8476.20 ,8532.80 ,8450.70 ,471.16K,0.25%
2019年11月15日,8476.30 ,8660.80 ,8761.80 ,8437.10 ,653.71K,-2.13%
2019年11月14日,8661.20 ,8782.90 ,8799.80 ,8615.80 ,515.43K,-1.39%
2019年11月13日,8783.10 ,8813.20 ,8829.70 ,8721.10 ,454.33K,-0.33%
2019年11月12日,8812.60 ,8737.40 ,8841.20 ,8615.70 ,575.16K,0.87%
2019年11月11日,8736.90 ,9036.90 ,9066.40 ,8649.40 ,601.16K,-3.32%
2019年11月10日,9036.80 ,8804.70 ,9092.90 ,8763.50 ,581.57K,2.64%
2019年11月9日,8804.50 ,8778.10 ,8877.50 ,8746.90 ,512.02K,0.30%
2019年11月8日,8778.20 ,9223.60 ,9254.80 ,8722.40 ,791.79K,-4.83%
2019年11月7日,9223.50 ,9339.20 ,9367.00 ,9130.00 ,603.54K,-1.24%
2019年11月6日,9338.90 ,9311.20 ,9424.60 ,9262.70 ,578.03K,0.30%
2019年11月5日,9310.80 ,9396.10 ,9452.70 ,9193.90 ,653.42K,-0.91%
2019年11月4日,9396.40 ,9198.70 ,9500.40 ,9134.10 ,681.01K,2.15%
2019年11月3日,9198.30 ,9300.50 ,9359.10 ,9095.00 ,536.56K,-1.10%
2019年11月2日,9300.60 ,9230.30 ,9356.70 ,9201.20 ,570.74K,0.76%
2019年11月1日,9230.10 ,9153.10 ,9270.40 ,9057.20 ,689.65K,0.85%
2019年10月31日,9152.60 ,9157.90 ,9378.90 ,8959.60 ,798.93K,-0.06%
2019年10月30日,9157.90 ,9411.30 ,9411.30 ,9018.40 ,789.73K,-2.69%
2019年10月29日,9411.30 ,9206.50 ,9531.30 ,9125.30 ,918.48K,2.22%
2019年10月28日,9207.20 ,9530.10 ,9866.90 ,9202.50 ,1.04M,-3.38%
2019年10月27日,9529.60 ,9230.60 ,9773.20 ,9081.00 ,1.16M,3.24%
2019年10月26日,9230.60 ,8658.40 ,10540.00 ,8061.80 ,1.78M,6.61%
2019年10月25日,8658.30 ,7422.80 ,8697.70 ,7404.90 ,1.18M,16.65%
2019年10月24日,7422.70 ,7476.80 ,7501.50 ,7366.30 ,586.49K,-0.73%
2019年10月23日,7477.00 ,8031.00 ,8055.00 ,7329.20 ,892.08K,-6.90%
2019年10月22日,8031.40 ,8207.40 ,8289.10 ,8017.70 ,570.39K,-2.15%
2019年10月21日,8208.20 ,8224.10 ,8315.30 ,8155.70 ,489.40K,-0.18%
2019年10月20日,8223.40 ,7957.40 ,8288.50 ,7889.60 ,513.91K,3.34%
2019年10月19日,7957.30 ,7948.30 ,8060.20 ,7892.40 ,428.83K,0.11%
2019年10月18日,7948.50 ,8073.30 ,8116.40 ,7842.00 ,505.79K,-1.55%
2019年10月17日,8073.30 ,8000.40 ,8118.20 ,7944.40 ,444.95K,0.91%
2019年10月16日,8000.40 ,8167.10 ,8185.90 ,7929.80 ,538.92K,-2.04%
2019年10月15日,8167.20 ,8353.40 ,8400.20 ,8139.50 ,469.73K,-2.23%
2019年10月14日,8353.30 ,8281.30 ,8374.30 ,8222.20 ,505.02K,0.87%
2019年10月13日,8281.50 ,8304.30 ,8450.20 ,8190.60 ,419.87K,-0.28%
2019年10月12日,8304.40 ,8267.60 ,8394.80 ,8260.90 ,424.02K,0.44%
2019年10月11日,8267.80 ,8562.20 ,8751.10 ,8249.70 ,667.86K,-3.44%
2019年10月10日,8562.30 ,8566.80 ,8638.50 ,8438.70 ,511.46K,-0.05%
2019年10月9日,8566.70 ,8180.10 ,8655.90 ,8122.70 ,636.43K,4.69%
2019年10月8日,8182.90 ,8198.50 ,8323.10 ,8118.10 ,469.04K,-0.19%
2019年10月7日,8198.60 ,7882.60 ,8293.50 ,7797.00 ,604.74K,4.02%
2019年10月6日,7881.90 ,8127.30 ,8145.50 ,7834.90 ,448.80K,-3.02%
2019年10月5日,8127.30 ,8148.00 ,8185.10 ,8030.60 ,360.92K,-0.25%
2019年10月4日,8148.10 ,8227.60 ,8233.60 ,8041.40 ,416.92K,-0.96%
2019年10月3日,8226.90 ,8363.60 ,8391.70 ,8090.10 ,460.97K,-1.64%
2019年10月2日,8364.10 ,8302.70 ,8374.00 ,8167.70 ,405.86K,0.74%
2019年10月1日,8302.70 ,8285.00 ,8486.20 ,8187.90 ,533.95K,0.22%
2019年9月30日,8284.30 ,8048.90 ,8318.50 ,7749.00 ,600.26K,2.92%
2019年9月29日,8049.10 ,8208.00 ,8226.80 ,7922.10 ,418.48K,-1.94%
2019年9月28日,8208.50 ,8184.50 ,8297.20 ,8031.10 ,457.79K,0.29%
2019年9月27日,8184.90 ,8063.80 ,8257.40 ,7882.10 ,561.40K,1.50%
2019年9月26日,8063.80 ,8432.50 ,8463.10 ,7773.60 ,731.03K,-4.37%
2019年9月25日,8432.40 ,8512.30 ,8729.80 ,8245.10 ,696.11K,-0.96%
2019年9月24日,8513.90 ,9702.70 ,9793.80 ,8069.40 ,933.16K,-12.25%
2019年9月23日,9702.20 ,10031.30 ,10048.80 ,9656.30 ,431.10K,-3.28%
2019年9月22日,10031.60 ,9993.00 ,10075.00 ,9870.90 ,337.06K,0.39%
2019年9月21日,9993.00 ,10172.80 ,10177.90 ,9939.80 ,326.17K,-1.77%
2019年9月20日,10172.70 ,10251.50 ,10279.50 ,10088.60 ,362.07K,-0.76%
2019年9月19日,10250.50 ,10164.60 ,10297.60 ,9707.60 ,542.25K,0.84%
2019年9月18日,10164.70 ,10195.70 ,10257.50 ,10119.30 ,318.82K,-0.30%
2019年9月17日,10195.70 ,10254.60 ,10273.60 ,10153.50 ,321.64K,-0.58%
2019年9月16日,10255.50 ,10311.30 ,10360.50 ,10108.50 ,372.53K,-0.54%
2019年9月15日,10311.50 ,10337.30 ,10360.40 ,10272.00 ,255.79K,-0.25%
2019年9月14日,10337.30 ,10342.20 ,10421.40 ,10253.70 ,326.44K,-0.05%
2019年9月13日,10342.10 ,10415.20 ,10441.40 ,10174.10 ,365.52K,-0.70%
2019年9月12日,10415.10 ,10162.40 ,10447.90 ,10051.00 ,413.22K,2.49%
2019年9月11日,10162.50 ,10104.90 ,10257.50 ,9908.90 ,413.06K,0.57%
2019年9月10日,10105.40 ,10308.70 ,10379.80 ,9970.70 ,383.22K,-1.98%
2019年9月9日,10309.00 ,10402.10 ,10478.00 ,10095.70 ,473.76K,-0.90%
2019年9月8日,10402.80 ,10461.60 ,10578.00 ,10266.30 ,339.73K,-0.56%
2019年9月7日,10461.10 ,10306.90 ,10556.40 ,10302.30 ,393.57K,1.47%
2019年9月6日,10309.30 ,10566.70 ,10896.20 ,10227.40 ,643.02K,-2.44%
2019年9月5日,10566.90 ,10567.80 ,10630.70 ,10469.90 ,402.09K,-0.01%
2019年9月4日,10568.20 ,10611.60 ,10783.60 ,10388.60 ,504.45K,-0.42%
2019年9月3日,10612.30 ,10348.10 ,10756.80 ,10283.50 ,578.79K,2.55%
2019年9月2日,10348.80 ,9728.80 ,10431.50 ,9720.30 ,542.79K,6.37%
2019年9月1日,9729.30 ,9594.70 ,9799.50 ,9533.60 ,322.66K,1.41%
